지역,발생건수,사망자수,부상자수,음주운전 사고 발생 비율,부상자 비율,시군구코드
종로구,48,0,78,2.191780821917808,2.113821138211382,11110
중구,30,0,42,1.36986301369863,1.1382113821138211,11140
용산구,73,1,127,3.3333333333333335,3.4417344173441737,11170
성동구,61,0,92,2.7853881278538815,2.4932249322493227,11200
광진구,62,1,100,2.8310502283105023,2.710027100271003,11215
동대문구,63,0,86,2.8767123287671232,2.330623306233062,11230
중랑구,74,0,102,3.3789954337899544,2.7642276422764227,11260
성북구,62,1,106,2.8310502283105023,2.872628726287263,11290
강북구,60,1,102,2.73972602739726,2.7642276422764227,11305
도봉구,35,1,52,1.5981735159817352,1.4092140921409213,11320
노원구,93,0,147,4.2465753424657535,3.983739837398374,11350
은평구,77,0,126,3.515981735159817,3.414634146341464,11380
서대문구,35,0,59,1.5981735159817352,1.5989159891598916,11410
마포구,118,0,211,5.3881278538812785,5.718157181571816,11440
양천구,64,1,121,2.922374429223744,3.2791327913279136,11470
강서구,110,0,166,5.0228310502283104,4.4986449864498645,11500
구로구,103,1,177,4.703196347031963,4.796747967479675,11530
금천구,76,2,117,3.4703196347031966,3.1707317073170733,11545
영등포구,114,1,212,5.205479452054795,5.745257452574526,11560
동작구,67,0,144,3.0593607305936072,3.902439024390244,11590
관악구,95,0,149,4.337899543378995,4.0379403794037945,11620
서초구,152,2,248,6.940639269406393,6.720867208672086,11650
강남구,293,1,523,13.378995433789953,14.173441734417343,11680
송파구,161,0,295,7.351598173515981,7.994579945799458,11710
강동구,64,0,108,2.922374429223744,2.9268292682926833,11740
